PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PriceperSQFT,HOA
Vacant Land,1952 S Sheridan Ave,Tacoma,WA,98405,169000,,,Hilltop,,6660,,48,,0
Single Family Residential,302 126th St S,Parkland,WA,98444,459000,4,2,Parkland,1140,10000,1940,48,403,0
Multi-Family (2-4 Unit),605 & 607 E 34th St,Tacoma,WA,98404,489500,5,2,Tacoma,2491,6500,1907,48,197,0
Single Family Residential,405 N 7th St,Tacoma,WA,98407,1350000,6,4.5,North Tacoma,4736,9750,1926,50,285,0
Single Family Residential,134 E 64th St,Tacoma,WA,98404,419000,3,2,Se Tacoma,1252,5000,1910,50,335,0
Single Family Residential,5226 Yakima Ave,Tacoma,WA,98408,409888,3,2.5,Tacoma,1619,6250,1912,50,253,0
Condo/Co-op,2131 Court G,Tacoma,WA,98405,409000,2,2.5,Central Tacoma,1757,1200,2008,51,233,1
Single Family Residential,9928 Yakima Ave S,Tacoma,WA,98444,400000,3,1,Tacoma,1200,7750,1939,52,333,0
Single Family Residential,3914 S 35th St,Tacoma,WA,98409,399000,5,2,Oakland,2044,6000,1922,53,195,0
Single Family Residential,7424 Fawcett Ave,Tacoma,WA,98408,449500,4,1,Tacoma,1486,6250,1950,53,302,0
Single Family Residential,1930 Westridge Ave W,University Place,WA,98466,799950,3,2,University Place,1970,9005,2021,53,406,0
Single Family Residential,2508 S Wilkeson St,Tacoma,WA,98405,450000,4,2,Central Tacoma,1900,6970,1970,53,237,0
Single Family Residential,10604 9th Avenue Ct S,Tacoma,WA,98444,699950,4,3,Tacoma,2634,14374,2021,53,266,0
Vacant Land,10614 44th Ave E,Tacoma,WA,98446,200000,,,Tacoma,,200376,,53,,0
Single Family Residential,1932 S Hosmer St,Tacoma,WA,98405,330000,3,2,Hilltop,1158,5750,1909,53,285,0
Single Family Residential,1038 S 74th St,Tacoma,WA,98408,475000,3,1.5,Fern Hill,1299,9019,1969,53,366,0
Condo/Co-op,505 Broadway #703,Tacoma,WA,98402,795000,2,2.5,Tacoma,1733,418,2008,54,459,1
Vacant Land,0 6th Ave E,Tacoma,WA,98445,340000,,,Parkland,,32404,,54,,0
Single Family Residential,901 S Sprague Ave,Tacoma,WA,98405,429950,3,1.5,Central Tacoma,1297,3219,1925,54,331,0
Single Family Residential,2401 67th Ave NE,Tacoma,WA,98422,448000,4,2,Tacoma,1990,8617,1980,54,225,0
Single Family Residential,4036 A St,Tacoma,WA,98418,429000,3,2,Lincoln,1800,5850,1920,55,238,0
Mobile/Manufactured Home,16308 E B St #64,Tacoma,WA,98445,72999,2,2,Bethel,1332,,1972,55,55,0
Single Family Residential,5643 S J St,Tacoma,WA,98408,445000,3,2,South Tacoma,2132,8184,1931,55,209,0
Vacant Land,520 152nd E,Tacoma,WA,98445,2000000,,,Spanaway,,214315,,55,,0
Single Family Residential,3701 N 13th St,Tacoma,WA,98406,599000,3,2,Proctor,1323,8690,1943,55,453,0
Single Family Residential,2362 S Wilkeson St,Tacoma,WA,98405,399000,3,2,Tacoma,1451,5450,1922,55,275,0
Townhouse,708 Market St #409,Tacoma,WA,98402,524900,2,2,Tacoma,1670,,2007,56,314,1
Single Family Residential,818 E 60th St,Tacoma,WA,98404,589950,4,3,Tacoma,1846,4500,2021,56,320,0
Single Family Residential,611 S state St,Tacoma,WA,98405,497500,4,2,Ups,1584,2179,1910,59,314,0
Single Family Residential,4914 N Visscher St,Tacoma,WA,98407,625000,2,2.5,North Tacoma,2632,6000,1915,59,237,0
Single Family Residential,1920 Parkview Dr NE,Tacoma,WA,98422,999950,4,3,Ne Tacoma,3502,24268,1992,60,286,0
Single Family Residential,1907 N Cedar St,Tacoma,WA,98406,675000,4,3,North Tacoma,2832,3355,1915,60,238,0
Mobile/Manufactured Home,7303 17th Avenue Ct E,Tacoma,WA,98404,149950,3,2,Tacoma,1188,,1997,60,126,0
Vacant Land,3835 E Hill St,Tacoma,WA,98404,95000,,,Tacoma,,5000,,60,,0
Vacant Land,3841 E Hill St,Tacoma,WA,98404,95900,,,Tacoma,,5000,,60,,0
Mobile/Manufactured Home,507 131st St E #29,Tacoma,WA,98445,18000,2,1,Parkland,650,,1981,61,28,0
Single Family Residential,502 S 90th St,Tacoma,WA,98444,419000,3,1.5,Fern Hill,1237,9159,1954,61,339,0
Single Family Residential,4058 E McKinley Ave,Tacoma,WA,98404,365000,3,1.5,McKinley,1192,4600,1910,61,306,0
Condo/Co-op,4907 Main St #526,Tacoma,WA,98407,690164,2,2,North Tacoma,1344,,2021,63,514,1
Condo/Co-op,4907 Main St #112,Tacoma,WA,98407,925028,1,1.5,North Tacoma,1299,,2021,63,712,1
Multi-Family (5+ Unit),1004 138th St S,Tacoma,WA,98444,2600000,28,16,Brookdale,14000,48000,1964,64,186,0
Single Family Residential,4731 N Huson St,Tacoma,WA,98407,675000,3,2,North Tacoma,1820,10800,1974,64,371,0
Single Family Residential,4601 E F St,Tacoma,WA,98404,379000,2,1,Tacoma,816,8236,1923,64,464,0
Single Family Residential,1710 S 54th St,Tacoma,WA,98408,460000,2,1,Tacoma,1356,6400,1904,66,339,0
