MDL_Raw,MDL_Score,SPR_Raw,SPR_score,HRPU_Raw,HPRU_score,SDC_Raw,SDC_score,LTK_Raw,LTK_score,X2MR_Finish,2MR_score,APFT_pushups,APFT_situps,APFT_runtime_sec,APFT_score,IOCT_Score,IOCT_time,age,hgt_in,wt_lb,BMI,Sex,ACFT_Score
340,100,14.2,100,31,71,1:24,100,15,90,14:23,94,80,73,771,292,770,2.54,24,78,209,23.73966257,Male,555
240,78,9.8,82,35,75,1:23,100,9,78,12:33,100,72,78,810,285,718,3.09,23,69,196,28.264745,Male,513
240,78,8.6,74,23,66,1:42,97,9,78,17:10,75,71,71,795,260,690,3.18,22,70,182,25.73752828,Male,468
240,78,9.8,82,34,74,1:40,98,14,88,14:01,96,74,79,814,283,830,2.44,21,75,189,23.93091977,Male,516
260,82,7.4,68,30,70,1:54,86,7,74,17:01,76,72,80,802,278,680,3.25,22,70,191,25.99597632,Male,456
150,62,5.7,63,12,61,2:24,67,11,82,15:35,86,72,92,845,351,874,3.42,22,66,143,23.12906371,Female,421
170,64,5.9,64,19,64,1:57,83,6,72,15:21,87,48,83,873,297,884,3.37,22,66,136,22.51214831,Female,434
300,90,9.3,79,27,68,1:37,99,10,80,16:29,80,65,88,724,288,806,2.48,22,69,182,25.88131336,Male,496
300,90,9.1,77,44,84,1:34,100,20,100,13:45,98,100,93,735,348,936,2.3,21,66,153,25.51376808,Male,549
300,90,8.8,75,47,87,1:33,100,14,88,16:57,76,103,91,724,339,994,2.16,22,66,174,27.33434802,Male,516
300,90,8.9,76,30,70,1:38,99,12,84,17:21,74,75,76,872,274,734,3.03,24,67,194,29.663479,Male,493
200,70,9.1,77,40,80,1:34,100,7,74,15:21,87,88,82,791,293,920,2.33,21,72,197,26.3661442,Male,488
200,70,7.7,69,16,63,1:38,99,7,74,15:37,85,75,82,723,288,788,2.51,22,69,146,22.24564059,Male,460
180,65,6.7,66,13,61,1:56,84,5,70,14:25,93,59,95,837,350,920,3.23,22,65,138,23.01241827,Female,439
160,63,6,64,13,61,2:32,65,6,72,16:34,79,42,78,1017,283,772,4.23,21,70,127,17.74994082,Female,404
240,78,7.8,69,26,68,1:35,100,8,76,11:52,100,60,96,665,285,782,2.52,22,72,170,22.69662929,Male,491
340,100,10,83,53,93,1:24,100,20,100,12:12,100,100,103,686,375,936,2.3,22,70,180,25.59374321,Male,576
240,78,9,77,30,70,1:31,100,7,74,18:16,68,79,90,795,296,794,2.5,22,67,168,27.17260631,Male,467
340,100,9.7,81,36,76,1:35,100,10,80,15:19,87,83,83,840,282,800,2.49,21,68,180,26.4889495,Male,524
160,63,5.9,64,4,30,1:53,87,0,0,13:34,99,65,102,774,356,908,3.28,21,64,144,24.76922567,Female,343
